pagina,codice_ateco,descrizione,area,block,nome_file,stato
0001,01.11.00,"Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso",Sicurezza,0001-0050,SICURIX_TALES_0001_011100_coltivazione_di_cereali_legumi_da_granel_SICUREZZA_v1.png,BRIEF_PRONTO
0002,01.12.00,Coltivazione di riso,Sicurezza,0001-0050,SICURIX_TALES_0002_011200_coltivazione_di_riso_SICUREZZA_v1.png,BRIEF_PRONTO
0003,01.13.11,Coltivazione di ortaggi e meloni in piena aria,Sicurezza,0001-0050,SICURIX_TALES_0003_011311_coltivazione_di_ortaggi_e_meloni_in_pien_SICUREZZA_v1.png,BRIEF_PRONTO
0004,01.13.12,Coltivazione di ortaggi e meloni in colture protette fuori suolo,Sicurezza,0001-0050,SICURIX_TALES_0004_011312_coltivazione_di_ortaggi_e_meloni_in_colt_SICUREZZA_v1.png,BRIEF_PRONTO
0005,01.13.13,"Coltivazione di ortaggi e meloni in altre colture protette, escluse colture fuori suolo",Sicurezza,0001-0050,SICURIX_TALES_0005_011313_coltivazione_di_ortaggi_e_meloni_in_altr_SICUREZZA_v1.png,BRIEF_PRONTO
0006,01.13.20,"Coltivazione di radici, incluse barbabietole da zucchero",HACCP,0001-0050,SICURIX_TALES_0006_011320_coltivazione_di_radici_incluse_barbabiet_HACCP_v1.png,BRIEF_PRONTO
0007,01.13.30,"Coltivazione di tuberi, incluse patate",Sicurezza,0001-0050,SICURIX_TALES_0007_011330_coltivazione_di_tuberi_incluse_patate_SICUREZZA_v1.png,BRIEF_PRONTO
0008,01.14.00,Coltivazione di canna da zucchero,Sicurezza,0001-0050,SICURIX_TALES_0008_011400_coltivazione_di_canna_da_zucchero_SICUREZZA_v1.png,BRIEF_PRONTO
0009,01.15.00,Coltivazione di tabacco,Sicurezza,0001-0050,SICURIX_TALES_0009_011500_coltivazione_di_tabacco_SICUREZZA_v1.png,BRIEF_PRONTO
0010,01.16.00,Coltivazione di piante tessili,Sicurezza,0001-0050,SICURIX_TALES_0010_011600_coltivazione_di_piante_tessili_SICUREZZA_v1.png,BRIEF_PRONTO
0011,01.19.11,Coltivazione di fiori in piena aria,Sicurezza,0001-0050,SICURIX_TALES_0011_011911_coltivazione_di_fiori_in_piena_aria_SICUREZZA_v1.png,BRIEF_PRONTO
0012,01.19.12,Coltivazione di fiori in colture protette fuori suolo,Sicurezza,0001-0050,SICURIX_TALES_0012_011912_coltivazione_di_fiori_in_colture_protett_SICUREZZA_v1.png,BRIEF_PRONTO
0013,01.19.13,"Coltivazione di fiori in altre colture protette, escluse colture fuori suolo",Sicurezza,0001-0050,SICURIX_TALES_0013_011913_coltivazione_di_fiori_in_altre_colture_p_SICUREZZA_v1.png,BRIEF_PRONTO
0014,01.19.90,Coltivazione di piante da foraggio e di altre colture agricole non permanenti n.c.a.,Sicurezza,0001-0050,SICURIX_TALES_0014_011990_coltivazione_di_piante_da_foraggio_e_di__SICUREZZA_v1.png,BRIEF_PRONTO
0015,01.21.00,Coltivazione di uva,Sicurezza,0001-0050,SICURIX_TALES_0015_012100_coltivazione_di_uva_SICUREZZA_v1.png,BRIEF_PRONTO
0016,01.22.00,Coltivazione di frutta di origine tropicale e subtropicale,Sicurezza,0001-0050,SICURIX_TALES_0016_012200_coltivazione_di_frutta_di_origine_tropic_SICUREZZA_v1.png,BRIEF_PRONTO
0017,01.23.00,Coltivazione di agrumi,Sicurezza,0001-0050,SICURIX_TALES_0017_012300_coltivazione_di_agrumi_SICUREZZA_v1.png,BRIEF_PRONTO
0018,01.24.00,Coltivazione di pomacee e frutta a nocciolo,Sicurezza,0001-0050,SICURIX_TALES_0018_012400_coltivazione_di_pomacee_e_frutta_a_nocci_SICUREZZA_v1.png,BRIEF_PRONTO
0019,01.25.00,"Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio",Sicurezza,0001-0050,SICURIX_TALES_0019_012500_coltivazione_di_altri_alberi_da_frutto_f_SICUREZZA_v1.png,BRIEF_PRONTO
0020,01.26.00,Coltivazione di frutti oleosi,Sicurezza,0001-0050,SICURIX_TALES_0020_012600_coltivazione_di_frutti_oleosi_SICUREZZA_v1.png,BRIEF_PRONTO
0021,01.27.00,Coltivazione di piante per la produzione di bevande,HACCP,0001-0050,SICURIX_TALES_0021_012700_coltivazione_di_piante_per_la_produzione_HACCP_v1.png,BRIEF_PRONTO
0022,01.28.00,"Coltivazione di spezie, piante aromatiche e farmaceutiche",Sicurezza,0001-0050,SICURIX_TALES_0022_012800_coltivazione_di_spezie_piante_aromatiche_SICUREZZA_v1.png,BRIEF_PRONTO
0023,01.29.00,Coltivazione di altre colture agricole permanenti,Sicurezza,0001-0050,SICURIX_TALES_0023_012900_coltivazione_di_altre_colture_agricole_p_SICUREZZA_v1.png,BRIEF_PRONTO
0024,01.30.00,Riproduzione delle piante,Sicurezza,0001-0050,SICURIX_TALES_0024_013000_riproduzione_delle_piante_SICUREZZA_v1.png,BRIEF_PRONTO
0025,01.41.00,Allevamento di bovini da latte,HACCP,0001-0050,SICURIX_TALES_0025_014100_allevamento_di_bovini_da_latte_HACCP_v1.png,BRIEF_PRONTO
0026,01.42.00,Allevamento di altri bovini e bufalini,Sicurezza,0001-0050,SICURIX_TALES_0026_014200_allevamento_di_altri_bovini_e_bufalini_SICUREZZA_v1.png,BRIEF_PRONTO
0027,01.43.00,Allevamento di cavalli e altri equini,Sicurezza,0001-0050,SICURIX_TALES_0027_014300_allevamento_di_cavalli_e_altri_equini_SICUREZZA_v1.png,BRIEF_PRONTO
0028,01.44.00,Allevamento di cammelli e camelidi,Sicurezza,0001-0050,SICURIX_TALES_0028_014400_allevamento_di_cammelli_e_camelidi_SICUREZZA_v1.png,BRIEF_PRONTO
0029,01.45.00,Allevamento di ovini e caprini,Sicurezza,0001-0050,SICURIX_TALES_0029_014500_allevamento_di_ovini_e_caprini_SICUREZZA_v1.png,BRIEF_PRONTO
0030,01.46.00,Allevamento di suini,Sicurezza,0001-0050,SICURIX_TALES_0030_014600_allevamento_di_suini_SICUREZZA_v1.png,BRIEF_PRONTO
0031,01.47.00,Allevamento di pollame,Sicurezza,0001-0050,SICURIX_TALES_0031_014700_allevamento_di_pollame_SICUREZZA_v1.png,BRIEF_PRONTO
0032,01.48.10,Allevamento di conigli,Sicurezza,0001-0050,SICURIX_TALES_0032_014810_allevamento_di_conigli_SICUREZZA_v1.png,BRIEF_PRONTO
0033,01.48.20,Allevamento di altri animali da pelliccia,Sicurezza,0001-0050,SICURIX_TALES_0033_014820_allevamento_di_altri_animali_da_pellicci_SICUREZZA_v1.png,BRIEF_PRONTO
0034,01.48.30,Apicoltura,Sicurezza,0001-0050,SICURIX_TALES_0034_014830_apicoltura_SICUREZZA_v1.png,BRIEF_PRONTO
0035,01.48.40,Bachicoltura,Sicurezza,0001-0050,SICURIX_TALES_0035_014840_bachicoltura_SICUREZZA_v1.png,BRIEF_PRONTO
0036,01.48.91,Allevamento di insetti,Sicurezza,0001-0050,SICURIX_TALES_0036_014891_allevamento_di_insetti_SICUREZZA_v1.png,BRIEF_PRONTO
0037,01.48.99,Allevamento di altri animali vari n.c.a.,Sicurezza,0001-0050,SICURIX_TALES_0037_014899_allevamento_di_altri_animali_vari_n_c_a_SICUREZZA_v1.png,BRIEF_PRONTO
0038,01.50.00,Coltivazioni agricole associate all'allevamento di animali: attività mista,Sicurezza,0001-0050,SICURIX_TALES_0038_015000_coltivazioni_agricole_associate_all_alle_SICUREZZA_v1.png,BRIEF_PRONTO
0039,01.61.10,Manutenzione del terreno per mantenerlo in buone condizioni,Sicurezza,0001-0050,SICURIX_TALES_0039_016110_manutenzione_del_terreno_per_mantenerlo__SICUREZZA_v1.png,BRIEF_PRONTO
0040,01.61.91,Trattamenti fitosanitari,Sicurezza,0001-0050,SICURIX_TALES_0040_016191_trattamenti_fitosanitari_SICUREZZA_v1.png,BRIEF_PRONTO
0041,01.61.99,Altre attività di supporto alla produzione vegetale n.c.a.,Sicurezza,0001-0050,SICURIX_TALES_0041_016199_altre_attivit_di_supporto_alla_produzion_SICUREZZA_v1.png,BRIEF_PRONTO
0042,01.62.01,Attività di maniscalchi,Sicurezza,0001-0050,SICURIX_TALES_0042_016201_attivit_di_maniscalchi_SICUREZZA_v1.png,BRIEF_PRONTO
0043,01.62.09,Altre attività di supporto alla produzione animale,Sicurezza,0001-0050,SICURIX_TALES_0043_016209_altre_attivit_di_supporto_alla_produzion_SICUREZZA_v1.png,BRIEF_PRONTO
0044,01.63.10,Attività successive alla raccolta,Sicurezza,0001-0050,SICURIX_TALES_0044_016310_attivit_successive_alla_raccolta_SICUREZZA_v1.png,BRIEF_PRONTO
0045,01.63.20,Lavorazione delle sementi per la semina,Sicurezza,0001-0050,SICURIX_TALES_0045_016320_lavorazione_delle_sementi_per_la_semina_SICUREZZA_v1.png,BRIEF_PRONTO
0046,01.70.00,"Caccia, cattura di animali e servizi connessi",Sicurezza,0001-0050,SICURIX_TALES_0046_017000_caccia_cattura_di_animali_e_servizi_conn_SICUREZZA_v1.png,BRIEF_PRONTO
0047,02.10.00,Silvicoltura e altre attività forestali,Sicurezza,0001-0050,SICURIX_TALES_0047_021000_silvicoltura_e_altre_attivit_forestali_SICUREZZA_v1.png,BRIEF_PRONTO
0048,02.20.00,Utilizzo di aree forestali,Sicurezza,0001-0050,SICURIX_TALES_0048_022000_utilizzo_di_aree_forestali_SICUREZZA_v1.png,BRIEF_PRONTO
0049,02.30.00,Raccolta di prodotti selvatici non legnosi,Sicurezza,0001-0050,SICURIX_TALES_0049_023000_raccolta_di_prodotti_selvatici_non_legno_SICUREZZA_v1.png,BRIEF_PRONTO
0050,02.40.00,Servizi di supporto per la silvicoltura,Sicurezza,0001-0050,SICURIX_TALES_0050_024000_servizi_di_supporto_per_la_silvicoltura_SICUREZZA_v1.png,BRIEF_PRONTO
